sentence	label
الانسان لوحيد المحبوب من التوانسا لكل نطالب بترشح جعفور للانتخابات مع الشكر	1
عافاه الله وابتلى ناس بالتعصب وكتب اجره يكفيه فخر انه خادم بيت الله افريقي ولا غيره	0
برجولية تبارك الله عليه راجل و أنيق و متربي و يزيو من التنبير عليه شنية على خاطرو مزيان هبطتو عليه	1
للاناقة عنوان يدعى نور شيبة	1
يسعد صباح الورد والجمال والرقه نهارك ابيض مثل لونك	0
مستحيل يبعدهةعشان يريحه ومستحيل يبعده عشان مستواه ومستحيل يبعده عشان احد تدخل وسلامة فهمكم طبعا اذا كان الخبر صحيح	0
ديما بفكر ازاي افرحو طب اجيب ايه طب اعمل ايه حتا لو بكلمه بحاجه عايز يجيبها حتا لو كانت بسيطه ديما ببقا عايزه اشوف ابتسامته بحس ان الدنيا لسه بخير	0
البطوله كلها سيئة تحكيميا	0
أسـألـك اللـهــم الـتـيـسـيــر والـمـعـافــاة فــي الـدنـيــا والآخــرة	0
مسخر متاع بنات	1
لحد ما نتأكد إنه خير	0
انك تحاول تتعايش مع امر متعب	0
والله امفسخها يا لحاس يا واطي يا مثلي يا كلب ليك يوم قريب واتهج منها يا ديك احنا رجال بي وعدنا وكلمتنا احرار لا ارخاص نجرو علي شهوتنا نحن اهلها نحن من يتبولون عليك	1
اوسخ واتف مسلسل	1
و يأتي يقولك ان برشلونة افضل نادي من حيث الإنجازات و كل شيء على مدى العشر سنوات الأخيرة	0
حاجة جديدية في تونس عجبني الفيديو و الكليب	1
إذاعاتنا قنواتنا لغتنا العربية ضاعت داخل استوديوهاتكم ديسمبر	0
ڨرودة	1
شفتهلنقنه صداع وموسع بالك تردي عليهم	0
اوك انا عاوز من ده	0
كذ اب كبير	1
حصريا إعلان الحلقة وادي الذئاب الجزء الحلقتين	0
لابس ثوب الحمل	1
رائعه	1
حبيبي وانت طيب ربنا يخليك	0
تحب بين له بأفعالك الحكي لا يقدم ولا يأخر معاه ولا يحرك فيه شي	0
صوتها مزيان	1
وهرة	1
والله عز الناس و معلم ربي اعينو	1
كل عام وأنتم بخير	0
الدلاجي واحد إمسخ عالفلوس إبيع دارهم	1
اضحك مثلا ؤلا أقولك خلاص ببتسم	0
اول موسم مسجل ٨ وصانع ١٣ وش تبي	0
كنت دائما أسمع أنه على الإنسان الرصين أن يختار بين الشرور أفضلها	0
جمبسوت لو فستانن	0
بصراحه معادش يعجبني برنامجوا ولا من امسط البرامج	1
٦ فروع	0
هو دايما بيشوف حاجات غير اللي الناس بتشوفها	0
فيه بزاااااف رجولية محلاهم	1
السلام عليكم ممكن تتقاسمي معي حساب نتفليكس و اوعدك اني لن أغير شئ	0
نور تعرفي فيها شبه منك	0
وهرا وزين تالحصيلو ربي يهنيك ويخليلك المدام	1
هذا وسطنا من 3سنين و مع ذلك نفوزو بالدوري حاسه بالمعاناه اللي عايشينها	0
راس المنصبة	1
معلم شكيب	1
يرادلهم صولة فرسان جديدة وان شاء الله يرجع نوري المالكي للحكم ويأدبهم بس هو دواء الهم	0
يجب عليك أن تتعايش مع فكرة أنك قابل للت رك وقابل للن سيان في كل مرة تظن أن ك ثمين لدى أحدهم	0
راجل	1
بيرم احسن ممثل في المسلسل	1
الرئيس التونسي الباجي قايد سبسي في ذمة الله	0
هههههه احنا اعجبتنا في التمثيل	1
اللهم ارزقنا حبك و حب من أحبك و حب كل عمل يقربنا لحبك	0
ئەگەر شەوێ بیرت کردم پەنجەرەکان دامەخە لەناو دێری نامەیەکدا جاو لێک بنێ و جێ رامەخە زۆر شەوانە دێمە لات و	0
تونس لقاء مع وفد عن التجمع الدولي للمؤسسات والروابط المهنية الفلسطينية	1
امسط واسخف خلق ربي	1
لعل و عسي اترك هالأسي و يرجعلي حبي صباح و مسا	0
قدكش ماسطا و ماتجي شي باهي	1
منور نور شيبه ودائما متألق	1
حال مؤسف والله أنا أكتر شئ واجعني جرائم القتل كل يوم ربي يجيرنا	0
كفي نفسك عطفك ملوش داعي	0
ماسط تقول الفاهم اما متهمم شوية بفففف	1
كم انت ظعيف و جبان و برنامجك ضعيييييييييييف و مكنك الغرور يا ابن الواقي ههههههههههههههه	1
هههه المغني حقهم قدوه عقيد ومع وزير الداخلية الله يلعن ابوها دولة قلك فساد مالي قلنا قدوه فساد بول وبراز بالله عليكم في ليلة اقتلب عقيدpic	0
شايفين رحلة البحث المستمره عن الكمال وصلتنا لأيه يا منايك	0
نحترمو برشا الراجل هاذا ايمن من ايطاليا	1
القصة والحبكة فيه صفر بالشمال هو موجه بشكل خاص لشريحة محبي المضاربات	0
ماسط لاسط و قليل تربية	1
ههههههههههه حرام عليك	0
ارسل قلب واعطيك سؤال تحـب مين شي يوترك حرف تحبه تسامح بسرعه شايل هم شي تبي حد يحضنك تفدي روحك لمن تنتظر شي من احد متى تكره نفسك متى تنام بالعاده تبـي تكون لمين تفـشي اسرارك لمن عندك فوبيا من شي يومك يكون ناقص	0
محﻻها السورية لنقني بنمشي سوريا نتزوج	1
ثانية بس في تأكيد للخبر ده	0
اقصد ان حروب صدام بين قوتين عسكريتين على عكس حروب امريكيا	0
اوسخ ناس ماينفع معاهم الا الدفع عند الاستلام	0
كل تبن ياجحشلي ياسطوانه قطر وفارق	0
الحلقه حلوه	1
وا بيستشيك يا ربي	0
عسل و محلاهم البنات عفويين و ما يتصنعوش و ربي يبارك فيهم و بالنسبة للي يتمقعرو و يقولو جبريين راكم مساكن في مخاخكم بالك إنتوما عايشيين في كوكب آخر	1
الحمد لله كما ينبغي لجلال وجهك و عظيم سلطانك	0
لا حول ولا قوة الا بالله تشجعون على الفسق واللواط لعنكم الله لن نسمح بهذه الصورة التي تشوهون فيها صورة بلادنا تونس دولة اسلامية اعوذ بالله من هذه الاشكال ومن مشجعيها	1
و أ ش ر ق ت ال أ ر ض ب ن ور ر ب ه ا ربنا ميعديش يومك إلا وهو جابر بخاطرك و مفرحك يارب	0
ماسط أمين البرنامج بلا نوفل و مايا ماسط	1
كلهم بهايم وثقافتهم محدودة حتى في دينهم ربي قال إذا الشمس كورت موش الأرض يا أحمد كافون	1
مانتكلمش دفاعيا نتكلم على صنع اللعب	0
معلم شيخنا واصل	1
اللھم يا جامع الغيم في السماء اجمع بيني وبين فرحي و سعادتي و توفيقي و من احب و كل امر تعلم انه خيرا لي انك على كل شيء قدير	0
لا خد راحتك	0
جبوره ملخر و تو تخراولو فيه	1
اسطه لاسطه	1
هذا الرقاصة يدلي بدلوه في شان القاضي احمد الرحموني عاهرة تتكلم عن الشرف	1
هكذا يكون الاباء ربي يشفاها	1
خير من برشة عباد	1
مكيش لا تاع فن لا تمثيل كون تشري فكرون تربيه خير	1
مدامك تسمينها كيمديه والله الحرام انها تخرج	0
وجيهة الجندوبي فنانة راقية جداا تنطبق عليها كلمة برافو	1
بصراحة ماسط لاسط متعرغش تتكلم حتى طرف اش بيك حصلت في شكيب هو يحكي وانت شفت ليلى كي عرت روحها بفففغغ	1
اللهم احفظ بلادي عمان	0
نفس المشكله اللي في سيارتي	0
ا احلاهم لخوات كيف يتروجلوا في بعضهم	1
قبح الله وجهه أكثر مما قبحه	1
ممرڨها و ممسطها	1
برامج لا أخلاقية يا معلم عايلات تتفرج ولا شنوا تلوجوا عالبوووز	1
بصراحة حيوان وجاهل	1
هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه كلها بتصيرفل	0
ممسطها ومرزنها وكبرت وهترت وقداه تقص الكلام علي الضيوف وقليلة حياء يا بنتي احترم سنك	1
